uuid;totalErrors;totalTime;eventId;condition
dc5cec2a-9964-4aad-9b49-9f46ba99a6b9;0;27.98487;0;0
fe4675ce-fec0-4f0d-9fb9-f01950f6270e;0;153.7258;0;0
878ef29f-329f-4a34-9830-aa0bf30fefba;0;238.1294;0;0
6fb7db26-e881-44b8-9cfb-1aa7392a62cf;0;0;0;0
6fb7db26-e881-44b8-9cfb-1aa7392a62cf;0;0;0;0
6fb7db26-e881-44b8-9cfb-1aa7392a62cf;0;0;0;0
6fb7db26-e881-44b8-9cfb-1aa7392a62cf;0;0;0;0
6fb7db26-e881-44b8-9cfb-1aa7392a62cf;0;0;0;0
6fb7db26-e881-44b8-9cfb-1aa7392a62cf;0;0;0;0
00000000-0000-0000-0000-000000000000;0;0;0;0
4814013f-e7ae-4951-8121-9dfc04fe9d9d;2;35.33118;0;0
4814013f-e7ae-4951-8121-9dfc04fe9d9d;0;0;1;0
4814013f-e7ae-4951-8121-9dfc04fe9d9d;6;22.95488;2;0
4814013f-e7ae-4951-8121-9dfc04fe9d9d;1;0;3;0
